scenario,run,epoch,total_reward,alpha,beta,r_search,r_wait
6,2,8,3520.0,0.9,0.5,4,1
6,2,9,3607.0,0.9,0.5,4,1
6,2,10,3545.0,0.9,0.5,4,1
7,0,1,1059.0,0.9,0.6,4,1
7,0,2,3585.0,0.9,0.6,4,1
7,0,3,3572.0,0.9,0.6,4,1
7,0,4,3608.0,0.9,0.6,4,1
7,0,5,3596.0,0.9,0.6,4,1
7,0,6,3566.0,0.9,0.6,4,1
7,0,7,3533.0,0.9,0.6,4,1
7,0,8,3599.0,0.9,0.6,4,1
7,0,9,3589.0,0.9,0.6,4,1
7,0,10,3563.0,0.9,0.6,4,1
7,1,1,1065.0,0.9,0.6,4,1
7,1,2,3508.0,0.9,0.6,4,1
7,1,3,3573.0,0.9,0.6,4,1
7,1,4,3597.0,0.9,0.6,4,1
7,1,5,3626.0,0.9,0.6,4,1
7,1,6,3583.0,0.9,0.6,4,1
7,1,7,3543.0,0.9,0.6,4,1
7,1,8,3598.0,0.9,0.6,4,1
7,1,9,3621.0,0.9,0.6,4,1
7,1,10,3498.0,0.9,0.6,4,1
7,2,1,1044.0,0.9,0.6,4,1
7,2,2,3619.0,0.9,0.6,4,1
7,2,3,3629.0,0.9,0.6,4,1
7,2,4,3557.0,0.9,0.6,4,1
7,2,5,3608.0,0.9,0.6,4,1
7,2,6,3578.0,0.9,0.6,4,1
7,2,7,3580.0,0.9,0.6,4,1
7,2,8,3532.0,0.9,0.6,4,1
7,2,9,3597.0,0.9,0.6,4,1
7,2,10,3524.0,0.9,0.6,4,1
8,0,1,1080.0,0.9,0.7,4,1
8,0,2,3623.0,0.9,0.7,4,1
8,0,3,3623.0,0.9,0.7,4,1
8,0,4,3566.0,0.9,0.7,4,1
8,0,5,3590.0,0.9,0.7,4,1
8,0,6,3509.0,0.9,0.7,4,1
8,0,7,3545.0,0.9,0.7,4,1
8,0,8,3496.0,0.9,0.7,4,1
8,0,9,3571.0,0.9,0.7,4,1
8,0,10,3530.0,0.9,0.7,4,1
8,1,1,1053.0,0.9,0.7,4,1
8,1,2,3607.0,0.9,0.7,4,1
8,1,3,3579.0,0.9,0.7,4,1
8,1,4,3626.0,0.9,0.7,4,1
8,1,5,3542.0,0.9,0.7,4,1
8,1,6,3628.0,0.9,0.7,4,1
8,1,7,3631.0,0.9,0.7,4,1
8,1,8,3557.0,0.9,0.7,4,1
8,1,9,3569.0,0.9,0.7,4,1
8,1,10,3567.0,0.9,0.7,4,1
8,2,1,1069.0,0.9,0.7,4,1
8,2,2,3557.0,0.9,0.7,4,1
8,2,3,3562.0,0.9,0.7,4,1
8,2,4,3555.0,0.9,0.7,4,1
8,2,5,3612.0,0.9,0.7,4,1
8,2,6,3560.0,0.9,0.7,4,1
8,2,7,3576.0,0.9,0.7,4,1
8,2,8,3663.0,0.9,0.7,4,1
8,2,9,3553.0,0.9,0.7,4,1
8,2,10,3607.0,0.9,0.7,4,1
9,0,1,2016.0,0.7,0.5,4,2
9,0,2,2036.0,0.7,0.5,4,2
9,0,3,2070.0,0.7,0.5,4,2
9,0,4,2046.0,0.7,0.5,4,2
9,0,5,2036.0,0.7,0.5,4,2
9,0,6,3014.0,0.7,0.5,4,2
9,0,7,3082.0,0.7,0.5,4,2
9,0,8,3046.0,0.7,0.5,4,2
9,0,9,3051.0,0.7,0.5,4,2
9,0,10,3038.0,0.7,0.5,4,2
9,1,1,2024.0,0.7,0.5,4,2
9,1,2,2988.0,0.7,0.5,4,2
9,1,3,3063.0,0.7,0.5,4,2
9,1,4,3003.0,0.7,0.5,4,2
9,1,5,3012.0,0.7,0.5,4,2
9,1,6,2992.0,0.7,0.5,4,2
9,1,7,3095.0,0.7,0.5,4,2
9,1,8,3110.0,0.7,0.5,4,2
9,1,9,3082.0,0.7,0.5,4,2
